"board_guid","brand","board_name","price_aud","model_year","product_url"
"M0jRRVbDtJ","Bataleon","Goliath + 2027","1199.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-goliath-plus-2027"
"xtdkXGh0Rr","Bataleon","Party Wave 2027","869.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-party-wave-2027"
"Dvxb550TR1","Bataleon","Mens Thunder Storm 2027","959.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-mens-thunder-storm-2027"
"Uak0Y2xszD","Bataleon","Cameleon 2027","1149.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-cameleon-2027"
"EZ0IoSIe38","Bataleon","The Surfer 2027","1899.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-the-surfer-2027"
"TD7mNjqTl8","Burton","Family Tree Time Thief 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/burton-family-tree-time-thief"
"UErcuZkI8Q","Burton","Family Tree Full Nelson 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/burton-family-tree-full-nelson"
"G1bWhqfcdm","Burton","Custom Flying V 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/burton-custom-flying-v"
"vv1siRNkIt","Burton","Family Tree Smooth Operator 2027","1299.99","2027","https://www.melbournesnowboard.com.au/products/burton-family-tree-smooth-operator"
"jgzbzRwa7e","Burton","Family Tree Sketch Artist 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/burton-family-tree-sketch-artist"
"wC2nrpypI9","Burton","Family Tree High Fidelity 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/burton-family-tree-high-fidelity"
"hCyIqwbuNm","Burton","Counterbalance 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/burton-counterbalance"
"DbVnqdQCEv","Jones","Twincraft 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/jones-twincraft"
"AAkvfNUooz","Jones","Mind Expander 2.0 2027","1079.99","2027","https://www.melbournesnowboard.com.au/products/jones-mind-expander-2-0"
"HfNrXM61pa","Jones","Storm Wolf 2027","1199.99","2027","https://www.melbournesnowboard.com.au/products/jones-storm-wolf"
"5GEZh2Xdb0","Jones","Storm Chaser 2027","1199.99","2027","https://www.melbournesnowboard.com.au/products/jones-storm-chaser"
"2LdthH7GBg","Jones","Freecarver 9000s 2027","1149.99","2027","https://www.melbournesnowboard.com.au/products/jones-freecarver-9000s"
"aiSeM4Zayv","Jones","Freecarver 6000s 2027","1149.99","2027","https://www.melbournesnowboard.com.au/products/jones-freecarver-6000s"
"ZVutVOH5yg","Jones","Mens Rally Cat 2027","849.99","2027","https://www.melbournesnowboard.com.au/products/jones-mens-rally-cat"
"3EvvgTQAkz","Jones","Mens Tweaker Pro 2.0 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/jones-mens-tweaker-pro-2-0"
"dxMgXergiQ","Jones","Mens Tweaker 2.0 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/jones-mens-tweaker-2-0"
"I5UEUCsOlz","Jones","Mens Aviator 2.0 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/jones-aviator-2-0"
"PYpPM9tM1r","Jones","Mens Mountain Twin 2027","1029.99","2027","https://www.melbournesnowboard.com.au/products/jones-mountain-twin"
"0wlvcYbEX2","Jones","Mens Mountain Twin Pro 2027","1199.99","2027","https://www.melbournesnowboard.com.au/products/jones-mountain-twin-pro"
"5mnaWv4Qc8","Jones","Mens Howler 2027","1199.99","2027","https://www.melbournesnowboard.com.au/products/jones-mens-howler"
"2jxEAJa3Fk","Jones","Mens Frontier 2.0 2027","899.99","2027","https://www.melbournesnowboard.com.au/products/jones-frontier-2-0"
"0Zk7dbpZ8k","Jones","Mens Stratos 2027","1149.99","2027","https://www.melbournesnowboard.com.au/products/jones-mens-stratos"
"u89bIG1J6F","Jones","Mens Flagship 2027","1299.99","2027","https://www.melbournesnowboard.com.au/products/jones-mens-flagship"
"fpuplB1wbb","Jones","Mens Flagship Pro 2027","1599.99","2027","https://www.melbournesnowboard.com.au/products/jones-mens-flagship-pro"
"xgtp6AKFVN","Jones","Hovercraft 2.0 2027","1149.99","2027","https://www.melbournesnowboard.com.au/products/jones-hovercraft-2-0"
"v345nLV3zz","Burton","Good Company 2027","699.99","2027","https://www.melbournesnowboard.com.au/products/burton-good-company"
"bsef1VWgif","Burton","Blossom 2027","879.99","2027","https://www.melbournesnowboard.com.au/products/burton-blossom"
"0WO90RPV8Y","Burton","Cartographer 2027","799.99","2027","https://www.melbournesnowboard.com.au/products/burton-cartographer"
"DwdfjTb0PY","Burton","Family Tree Hometown Hero 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/burton-family-tree-hometown-hero"
"qDNHgycySn","Burton","Process Flying V 2027","879.99","2027","https://www.melbournesnowboard.com.au/products/burton-process-flying-v"
"Elbgw65cZx","Burton","Process Camber 2027","879.99","2027","https://www.melbournesnowboard.com.au/products/burton-process"
"zgd1w5U433","Burton","Custom X 2027","1199.99","2027","https://www.melbournesnowboard.com.au/products/burton-custom-x"
"RCHZy5MVY9","K2","Sky Pilot 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/k2-sky-pilot"
"cx7VleNkz6","Ride","Warpig 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/ride-warpig"
"GG1fxPkGjX","Ride","Vantum 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/ride-vantum"
"piURfUDEJD","Ride","Twinpig 2027","899.99","2027","https://www.melbournesnowboard.com.au/products/ride-twinpig"
"Xw8yyFV799","Ride","Superpig 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/ride-superpig"
"RB3NCPUwch","Ride","Smokescreen 2027","879.99","2027","https://www.melbournesnowboard.com.au/products/ride-smokescreen"
"Lwq6GUWWui","Ride","Shadowban 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/ride-shadowban"
"QOPmTCjmdH","Ride","Psychocandy 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/ride-psychocandy"
"zZWVCKWytq","Salomon","Sleepwalker 2027","769.99","2027","https://www.melbournesnowboard.com.au/products/salomon-sleepwalker"
"xtCrmHIit1","Salomon","Huck Knife 2027","929.99","2027","https://www.melbournesnowboard.com.au/products/salomon-huck-knife"
"wwVfbqBQj3","Salomon","Dancehaul 2027","939.99","2027","https://www.melbournesnowboard.com.au/products/salomon-dancehaul"
"l3KdglPtNM","Salomon","Kickback 2027","719.99","2027","https://www.melbournesnowboard.com.au/products/salomon-kickback"
"5MAasfhw3w","Salomon","Assassin Pro 2027","1089.99","2027","https://www.melbournesnowboard.com.au/products/salomon-assassin-pro"
"LmqmuuOFZu","Salomon","Huck Knife Pro 2027","1089.99","2027","https://www.melbournesnowboard.com.au/products/salomon-huck-knife-pro"
"KUkP8e4cJC","Salomon","Abstract 2027","939.99","2027","https://www.melbournesnowboard.com.au/products/salomon-abstract"
"yre86uuXmu","Salomon","Craft 2027","749.99","2027","https://www.melbournesnowboard.com.au/products/salomon-craft"
"uyFsPjyvhd","Salomon","Fastlane 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/salomon-fastlane"
"hTpZCKU8n1","Salomon","Highpath 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/salomon-highpath"
"RZq38d3rtm","Salomon","Assassin 2027","989.99","2027","https://www.melbournesnowboard.com.au/products/salomon-assassin"
"yuGjSr8tzf","Salomon","Jetstream 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/salomon-jetstream"
"CxeSqaKaMW","Burton","From Burton To The World Snowboard","749.99","","https://www.melbournesnowboard.com.au/products/burton-from-burton-to-the-world-snowboard"
"W52mkPZTDo","Nitro","T1 2027","899.99","2027","https://www.melbournesnowboard.com.au/products/nitro-t1"
"8Nk5Gqy04H","Nitro","Alternator FX Splitboard 2027","1399.99","2027","https://www.melbournesnowboard.com.au/products/nitro-alternator-fx-splitboard"
"b8hNkXMv2o","Nitro","Optisym 2027","799.99","2027","https://www.melbournesnowboard.com.au/products/nitro-optisym"
"wudDREXmgj","Nitro","Team Pro Marcus Kleveland 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/nitro-team-pro-marcus-kleveland"
"GSsp6zdE7M","Nitro","Phase x Motorhead 2027","799.99","2027","https://www.melbournesnowboard.com.au/products/nitro-phase-x-motorhead"
"WcFu9U0WdM","Nitro","Phase 2027","799.99","2027","https://www.melbournesnowboard.com.au/products/nitro-phase"
"pn8NiiLe60","Nitro","Mastercarve 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/nitro-mastercarve"
"zWJWle90lc","Nitro","Magnum 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/nitro-magnum"
"ErS7nbbAfK","Nitro","Team 2027","899.99","2027","https://www.melbournesnowboard.com.au/products/nitro-team"
"VrBN6Ou32u","ThirtyTwo","Middle Earth Pro LTD","1079.99","","https://www.melbournesnowboard.com.au/products/thirtytwo-middle-earth-pro"
"hKco76MHaU","ThirtyTwo","XXX Fava Pro LTD","1099.99","","https://www.melbournesnowboard.com.au/products/thirtytwo-xxx-fava-pro"
"l5y1R4bnHD","ThirtyTwo","T32M LTD","1029.99","","https://www.melbournesnowboard.com.au/products/thirtytwo-t32m"
"BWUpjhMSSe","Nitro","Alternator 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/nitro-alternator"
"iQXjBPxwSi","Nitro","OG 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/nitro-og"
"yK7Rkc5jVr","Nitro","Dinghy 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/nitro-dinghy"
"pRkSjnKwKK","Nitro","Banker 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/nitro-banker"
"Dm94yBeX8K","Nitro","Cannon 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/nitro-cannon"
"Q7xh2FmEa3","Gnu","Turbo Gremlin 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/gnu-turbo-gremlin"
"2biFvZoeMv","Gnu","Banked Country 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/gnu-banked-country"
"Sw61ssrD4v","Gnu","Upgrade 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/gnu-upgrade"
"1D2Fxhz6Eo","Gnu","Facts 2027","699.99","2027","https://www.melbournesnowboard.com.au/products/gnu-facts"
"MqjXyoxok9","Gnu","Gremlin 2027","969.99","2027","https://www.melbournesnowboard.com.au/products/gnu-gremlin"
"2HiEVX455d","Korua Shapes","Cafe Racer Brushed","1099.99","","https://www.melbournesnowboard.com.au/products/korua-shapes-cafe-racer-brushed"
"PleYrgV9IN","Lib Tech","Apex Orca II 2027","2199.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-apex-orca-ii"
"xJ8cOTo6pq","Lib Tech","Mayhem Libzilla 2027","1399.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-mayhem-libzilla"
"Z5ADFyMD1V","Lib Tech","Mayhem Ripper 2027","1199.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-mayhem-ripper"
"SuVit8RW96","Lib Tech","Mayhem Rocket 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-mayhem-rocket"
"iaMeuyGumd","Lib Tech","Doughboy 2027","1349.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-doughboy"
"Fe6JmaxXS2","Lib Tech","Golden Orca 2027","1399.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-golden-orca"
"9GjKvDBmW4","Lib Tech","Orca II 2027","1199.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-orca-ii"
"75e1VTYhj9","Lib Tech","T. Rice Pro 2027","1169.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-t-rice-pro"
"eGtv1qTIAr","Lib Tech","Skunk Ape Camber 2027","1169.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-skunk-ape-camber"
"WowzaDBiX1","Lib Tech","Skunk Ape 2027","1169.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-skunk-ape"
"LFznRrY3J3","Lib Tech","Lib Rig 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-lib-rig"
"gtiupDAlG6","Lib Tech","Terrain Wrecker 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-terrain-wrecker"
"FwO44ugEfM","Lib Tech","Skate Banana 2027","969.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-skate-banana"
"mIOTmmWeJc","Lib Tech","Dynamo 2027","969.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-dynamo"
"kUWY84GtcP","Lib Tech","Cold Brew 2027","899.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-cold-brew"
"JP2TzCtiXM","Lib Tech","dPr 2027","799.99","2027","https://www.melbournesnowboard.com.au/products/lib-tech-dpr"
"kq8LZfPKfP","Capita","Sidewinder 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/capita-sidewinder"
"WJYliImzXL","Capita","Spring Break Stairmaster 2027","899.99","2027","https://www.melbournesnowboard.com.au/products/capita-spring-break-stairmaster"
"KbdOmGMFUr","Capita","Spring Break Resort Twin 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/capita-spring-break-resort-twin"
"xEwG2rGj6y","Capita","Spring Break Powder Twin 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/capita-spring-break-powder-twin"
"sdDOE7560R","Capita","Pathfinder 2027","799.99","2027","https://www.melbournesnowboard.com.au/products/capita-pathfinder"
"JAWS7vetxZ","Capita","Dark Horse 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/capita-dark-horse"
"uQdTbVcuYt","Capita","Indoor Survival 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/capita-indoor-survival"
"0Qnchgb6ap","Capita","Outerspace Living 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/capita-outerspace-living"
"s2T2yRY9iM","Capita","Defenders of Awesome 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/capita-defenders-of-awesome"
"0vy5ZEFcFU","Capita","Aeronaut 2027","1249.99","2027","https://www.melbournesnowboard.com.au/products/capita-aeronaut"
"pB1C3ZULQO","Capita","Mercury 2027","1149.99","2027","https://www.melbournesnowboard.com.au/products/capita-mercury"
"2IvmhQew1q","Capita","Kazu Kokubo Pro 2027","1249.99","2027","https://www.melbournesnowboard.com.au/products/capita-kazu-kokubo-pro"
"YE75AiB2va","Capita","The Black Snowboard of Death 2027","1299.99","2027","https://www.melbournesnowboard.com.au/products/capita-the-black-snowboard-of-death"
"gEy7WOnzey","Capita","Super DOA 2027","1449.99","2027","https://www.melbournesnowboard.com.au/products/capita-super-doa"
"MMQRE33uii","Capita","Mega Mercury 2027","1699.99","2027","https://www.melbournesnowboard.com.au/products/capita-mega-merc"
"GkH4jd6Ct4","Capita","Mega Death 2027","1999.99","2027","https://www.melbournesnowboard.com.au/products/capita-mega-death"
"uZ3Xf52G0y","Capita","Spring Break Slush Slashers 2.0 2027","799.99","2027","https://www.melbournesnowboard.com.au/products/capita-spring-break-slush-slashers-2-0"
"L4xasnqYpv","Capita","The Matriarch 2027","1299.99","2027","https://www.melbournesnowboard.com.au/products/capita-the-matriarch"
"sJaQMCkAKH","Capita","Austin Vizz Pro","949.99","","https://www.melbournesnowboard.com.au/products/capita-austin-vizz-pro"
"9sPa6PPn6u","Capita","Miles Fallon Pro","1099.99","","https://www.melbournesnowboard.com.au/products/capita-miles-fallon-pro"
"kK5whJk2Qz","K2","Excavator 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/k2-excavator"
"xG9ORvRq8S","K2","Almanac 2027","919.99","2027","https://www.melbournesnowboard.com.au/products/k2-almanac"
"wGgZ1RwSm9","K2","Passport 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/k2-passport"
"OJBPNazB9K","Burton","Cultivator Watercolour","599.99","","https://www.melbournesnowboard.com.au/products/burton-cultivator-watercolour"
"CvHHKqIbHd","Burton","Custom 30th Anniversary","1049.99","","https://www.melbournesnowboard.com.au/products/burton-custom-30th-anniversary"
"R4V6xLvD9C","Burton","Process Recut","879.99","","https://www.melbournesnowboard.com.au/products/burton-process-recut"
"spP1v7GA81","Nitro","x Inter Milan Team Snowboard","899.99","","https://www.melbournesnowboard.com.au/products/nitro-x-inter-milan-team-snowboard"
"bF7St1Ws2u","Burton","Cultivator Chain Link","599.99","","https://www.melbournesnowboard.com.au/products/burton-cultivator-chain-link"
"Qa2ZCrTUIY","Salomon","Huck Knife Pro Dusty LTD","1029.99","","https://www.melbournesnowboard.com.au/products/salomon-huck-knife-pro-dusty"
"EmdmnQ5oQr","Gnu","Wagyu 2026","899.99","2026","https://www.melbournesnowboard.com.au/products/gnu-wagyu"
"dPhHewTgQT","Salomon","Sight 2026","649.99","2026","https://www.melbournesnowboard.com.au/products/salomon-sight"
"Wq0ZFMTUIQ","Nidecker","Alpha 2027","849.99","2027","https://www.melbournesnowboard.com.au/products/nidecker-alpha"
"Z4Q0GblKxU","Nidecker","Beta 2027","849.99","2027","https://www.melbournesnowboard.com.au/products/nidecker-beta"
"wGPlFlxQfj","K2","Geometric 2024","455.99","2024","https://www.melbournesnowboard.com.au/products/k2-geometric-2024"
"RwPNZ6wlqH","Gnu","Money 2025 *B-Grade*","524.99","2025","https://www.melbournesnowboard.com.au/products/gnu-money-2025-b-grade"
"l8lUN0Ynp4","Lib Tech","Legitimizer 2025","629.99","2025","https://www.melbournesnowboard.com.au/products/lib-tech-legitimizer-2025"
"HSn0VCB7NE","Salomon","HPS - Takaharu Nakai 2024","569.99","2024","https://www.melbournesnowboard.com.au/products/salomon-hps-takaharu-nakai-2024"
"0AYEov1dlY","Salomon","HPS Louif Paradis 2024","569.99","2024","https://www.melbournesnowboard.com.au/products/salomon-hps-louif-paradis-2024"
"EToYuxqbks","Burton","Mystery Day Trader 2025","1539.99","2025","https://www.melbournesnowboard.com.au/products/burton-mystery-day-trader"
"zeJXkvuhnS","Never Summer","Men's Easy Rider 2026","1049.99","2026","https://www.melbournesnowboard.com.au/products/never-summer-mens-easy-rider"
"avLVK2Z434","Never Summer","Men's Llama 2026","1049.99","2026","https://www.melbournesnowboard.com.au/products/never-summer-mens-llama"
"ZZn9P07a0u","Never Summer","Men's V-Twin 2026","1049.99","2026","https://www.melbournesnowboard.com.au/products/never-summer-mens-v-twin"
"YmBH4HNLYB","Never Summer","Men's Valhalla 2026","1049.99","2026","https://www.melbournesnowboard.com.au/products/never-summer-mens-valhalla"
"BpxGv47B0Y","Never Summer","Men's Swift 2026","1049.99","2026","https://www.melbournesnowboard.com.au/products/never-summer-mens-swift"
"HXoqrJ8jg6","Never Summer","Men's Proto T3 FR 2026","1049.99","2026","https://www.melbournesnowboard.com.au/products/never-summer-mens-proto-t3-fr"
"KR9ULnqSpB","Jones","Men's Flagship Pro 2026","1449.99","2026","https://www.melbournesnowboard.com.au/products/jones-mens-flagship-pro-2026"
"aU2qFOCVPH","Burton","Family Tree Smooth Operator 2026","1199.99","2026","https://www.melbournesnowboard.com.au/products/burton-family-tree-smooth-operator-2026"
"xkr3gZUZ3P","Burton","Custom Glow 2026","799.99","2026","https://www.melbournesnowboard.com.au/products/burton-custom-glow"
"Wc72amuQ4U","Burton","Counterbalance Deco 2026","759.99","2026","https://www.melbournesnowboard.com.au/products/burton-counterbalance-deco"
"bKCMKtaFSN","Burton","Rewind Spray Paint 2026","639.99","2026","https://www.melbournesnowboard.com.au/products/burton-rewind-spray-paint"
"gEgAtjk0Os","Burton","Good Company 2026","559.99","2026","https://www.melbournesnowboard.com.au/products/burton-good-company-2026"
"SKfJIjbUYN","Burton","Family Tree Sketch Artist 2026","1099.99","2026","https://www.melbournesnowboard.com.au/products/burton-family-tree-sketch-artist-2026"
"yuK3bW43g2","Burton","Family Tree Alekesam 2026","899.99","2026","https://www.melbournesnowboard.com.au/products/burton-family-tree-alekesam"
"OUkTiHWBdD","Burton","Cartographer 2026","639.99","2026","https://www.melbournesnowboard.com.au/products/burton-cartographer-2026"
"9c7Iz9RRyA","Burton","Blossom Frog 2026","679.99","2026","https://www.melbournesnowboard.com.au/products/burton-blossom-frog"
"L7yAqDhlVO","Burton","Fish 3D 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/burton-fish-3d"
"Jivj8Q457u","Burton","Process Flying V 2026","703.99","2026","https://www.melbournesnowboard.com.au/products/burton-process-flying-v-2026"
"r19U0PEwkn","Burton","Process 2026","703.99","2026","https://www.melbournesnowboard.com.au/products/burton-process-2026"
"bpxrVBkB2J","Burton","Blossom Cherry Blossom 2026","679.99","2026","https://www.melbournesnowboard.com.au/products/burton-blossom-cherry-blossom"
"Jk0bK4iLtE","Burton","Custom X 2026","879.99","2026","https://www.melbournesnowboard.com.au/products/burton-custom-x-2026"
"NJMR33OqAw","Burton","Custom White","799.99","","https://www.melbournesnowboard.com.au/products/burton-custom-white"
"eujXkonNfq","Burton","Custom Camber 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/burton-custom"
"tGr1O7bwpu","Burton","Family Tree High Fidelity 2026","1099.99","2026","https://www.melbournesnowboard.com.au/products/burton-family-tree-high-fidelity-2026"
"AYF3ZPQjRS","Capita","Spring Break Powder Twin 2026","999.99","2026","https://www.melbournesnowboard.com.au/products/capita-spring-break-powder-twin-2026"
"Mkb0Q9lZ1o","Capita","Outerspace Living 2026","719.99","2026","https://www.melbournesnowboard.com.au/products/capita-outerspace-living-2026"
"aymsCkOTgs","Capita","Aeronaut 2026","1199.99","2026","https://www.melbournesnowboard.com.au/products/capita-aeronaut-2026"
"SGwEPDW3ct","Salomon","Dancehaul 2026","679.99","2026","https://www.melbournesnowboard.com.au/products/salomon-dancehaul-2026"
"5DbRUwVfd4","Salomon","Fastlane 2026","759.99","2026","https://www.melbournesnowboard.com.au/products/salomon-fastlane-2026"
"UjsSk0ptvk","Salomon","Jetstream 2026","759.99","2026","https://www.melbournesnowboard.com.au/products/salomon-jetstream-2026"
"VPtUDVqozI","Salomon","Highpath 2026","759.99","2026","https://www.melbournesnowboard.com.au/products/salomon-highpath-2026"
"o0RF7pQM9h","Salomon","Assassin Pro 2026","791.99","2026","https://www.melbournesnowboard.com.au/products/salomon-assassin-pro-2026"
"Cge1q0elpO","Salomon","Assassin 2026","719.99","2026","https://www.melbournesnowboard.com.au/products/salomon-assassin-2026"
"uatICKHOOX","Salomon","Sleepwalker 2026","559.99","2026","https://www.melbournesnowboard.com.au/products/salomon-sleepwalker-2026"
"5yKZxPj1b1","Salomon","Abstract 2026","679.99","2026","https://www.melbournesnowboard.com.au/products/salomon-abstract-2026"
"z3zMzKG4EW","Bataleon","Chaser 2026","615.99","2026","https://www.melbournesnowboard.com.au/products/bataleon-chaser"
"uovZzGxoNC","Bataleon","Turbo 2026","919.99","2026","https://www.melbournesnowboard.com.au/products/bataleon-turbo"
"02PuPid47d","Bataleon","Party Wave 2026","869.99","2026","https://www.melbournesnowboard.com.au/products/bataleon-party-wave"
"qx4DfZPcfO","Bataleon","Cameleon 2026","1149.99","2026","https://www.melbournesnowboard.com.au/products/bataleon-cameleon"
"JgQggXCuDH","Bataleon","Thunder Storm 2026","949.99","2026","https://www.melbournesnowboard.com.au/products/bataleon-thunder-storm"
"oWEDkCdJ99","Bataleon","The Surfer 2026","1799.99","2026","https://www.melbournesnowboard.com.au/products/bataleon-the-surfer"
"qgoFRGDtRP","Gnu","Upgrade 2026","999.99","2026","https://www.melbournesnowboard.com.au/products/gnu-upgrade-2026"
"4tEumX87V1","Gnu","Banked Country 2026","1049.99","2026","https://www.melbournesnowboard.com.au/products/gnu-banked-country-2026"
