product_guid,title,price_mean,price_std,price_confidence,core_material_score,core_material_conf,availability_score,availability_conf,warranty_mean,warranty_std,warranty_conf,reviewer_opinion_score,reviewer_opinion_conf,board_weight_mean,board_weight_std,board_weight_conf,carving_score,carving_conf,powder_mean,powder_std,powder_conf,edge_hold_score,edge_hold_conf,chatter_score,chatter_conf,positive_aspect_score,positive_aspect_conf,negative_aspect_score,negative_aspect_conf,return_policy_score,return_policy_conf,jibbing_score,jibbing_conf,overall_rating_mean,overall_rating_std,overall_rating_conf,speed_score,speed_conf,jumps_score,jumps_conf,pipe_score,pipe_conf,flex_rating_mean,flex_rating_std,flex_rating_conf,sidecut_radius_mean,sidecut_radius_std,sidecut_radius_conf,sidecut_radius_159_mean,sidecut_radius_159_std,sidecut_radius_159_conf,effective_edge_mean,effective_edge_std,effective_edge_conf,waist_width_mean,waist_width_std,waist_width_conf,setback_mean,setback_std,setback_conf,taper_mean,taper_std,taper_conf,stance_width_mean,stance_width_std,stance_width_conf,contact_length_mean,contact_length_std,contact_length_conf,tip_tail_width_mean,tip_tail_width_std,tip_tail_width_conf,tip_tail_width_159_mean,tip_tail_width_159_std,tip_tail_width_159_conf,recommended_weight_mean,recommended_weight_std,recommended_weight_conf,recommended_weight_159_mean,recommended_weight_159_std,recommended_weight_159_conf,turn_initiation_mean,turn_initiation_std,turn_initiation_conf,camber_profile_score,camber_profile_conf,terrain_suitability_mean,terrain_suitability_std,terrain_suitability_conf,on_snow_feel_score,on_snow_feel_conf,board_category_score,board_category_conf,comparable_board,camber_profile,base_material,terrain_suitability,topsheet,board_designer,manufacturing_location,board_category,shape,laminate,model_year,sustainability_certification,construction_material_innovation,sidewall_material,edge_technology,sidecut_type,binding_compatibility,predecessor_model_name,rider_level,brand,gender,mounting_pattern,product_type
2IvmhQew1q,CAPiTA_Snowboards_founded_Seattle_2000 Kazu_Kokubo_Pro,1249.99,115,0.98,0.9,0.8,0.5,0.7,2.0,0.25,0.99,0.5,0.01,2300,724,0.6,0.85,0.7,6,2.42,0.2,0.8,0.8,0.9,0.9,0.75,0.7,0.6,0.7,0.5,0.01,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,7,1.18,0.65,8,0.38,0.98,9,0.35,0.98,122,2,0.98,26,0,0.98,2,7,1.0,7,2,0.99,56,2,0.98,113,45,0.2,30,1,0.98,30,12,0.2,72,6,0.8,76,5,0.8,2,0.97,0.6,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,Amplid_Souly_Grail_K2_Alchemist_Burton_Skeleton_Key_YES_PYL_Weston_Backwoods_and_more,,Hyperdrive_ADV_XT_premium_sintered_PE_highest_antifriction,,Skinless_Core_Ash_Woodgrain_digital_print_PAM16000_silkscreened,Kazu_Kokubo_Kazuhiro_Kokubo_Japanese_professional_snowboarder,Feistritz_an_der_Gail_Carinthia_Austria_The_Mothership,,Tapered_Directional,Holysheet_Tri_Bi_triaxial_above_biaxial_beneath,2027,Certified_B_Corporation_B_Impact_Score_98_9,4x25mm_CarbonFlax_Amplifier,Full_ABS1000_Sidewalls,360_Degree_HRC48_Steel_Edges,Radical_Taper,,,Advanced,CAPiTA,Mens,2x4_Inserts_stainless_steel,Snowboard
2LdthH7GBg, Freecarver_9000s,1149.99,176,0.88,0.6,0.5,0.9,0.8,2.13,0.85,0.2,0.5,0.6,2882,1153,0.2,0.9,0.8,6,0.98,0.8,0.65,0.8,0.7,0.8,0.7,0.7,0.2,0.9,0.5,0.7,0.2,0.8,84,34,0.2,0.8,0.8,0.7,0.8,0.2,0.8,8,1.25,0.6,9,0.47,0.92,9,0.44,0.92,130,2,0.92,27,0,0.92,40,7,0.99,9,3,0.92,58,3,0.92,113,45,0.2,31,1,0.92,32,1,0.8,70,4,0.92,82,8,0.6,6,0.69,0.8,0.5,0.01,9,3.59,0.2,0.95,0.9,0.5,0.01,Stranda_Cheater_titanal_construction,,Sintered_9900_Base,,FSC_Ash_Veneer,,Dubai_UAE,,Tapered_Directional,Triax_Fiberglass_triple_layer_multi_directional,2027,Fair_Trade_Certified_via_Fair_Trade_USA,Basalt_Power_Stringers,Recycled_ABS,Traction_Tech_3_0,Progressive_sidecut_radius_increases_toward_contact_points,Standard_4_hole_mount,,Advanced,Jones_Snowboards,Mens_Unisex,2x4_inserts,Snowboard
2biFvZoeMv,Mervin_Manufacturing Banked_Country,1049.99,115,0.99,0.95,0.9,1.0,0.8,2.13,0.85,0.2,0.5,0.6,2882,1153,0.2,0.85,0.8,6,0.98,0.8,0.9,0.89,0.5,0.01,0.8,0.8,0.6,0.8,0.5,0.01,0.5,0.8,86,14,0.6,0.8,0.8,0.8,0.8,0.8,0.8,7,1.09,0.7,8,0.38,0.99,8,0.35,0.99,119,47,0.2,25,0,0.99,2,8,0.94,0,6,0.6,55,6,0.7,112,3,0.99,29,1,0.99,30,1,0.8,70,9,0.6,70,8,0.6,4,0.84,0.7,0.5,0.01,9,3.59,0.2,0.8,0.8,0.5,0.01,Amplid_Souly_Grail_K2_Alchemist_United_Shapes_Cadet_Ride_Algorythm_etc,,Sintered_Knife_Cut_Base,,Eco_Sublimated_Poly_Topsheet,Temple_and_Cannon_Cummins,Carlsborg_Sequim_Washington_USA,,Tapered_Directional,Triaxial_Biaxial_alloy_glass,2026,Zero_hazardous_waste_FSC_woods_water_solvents_eco_print,Carbon_Power_Bands,UHMW_Polyethylene,Progressive_Pro_Magne_Traction,,,GNU_Billy_Goat,Advanced_to_Expert,GNU,Mens,2x4_Inserts,Snowboard
2jxEAJa3Fk,Jones_Snowboards_Nidecker_US_Inc_Truckee_CA Frontier_2.0,899.99,160,0.9,0.7,0.8,0.5,0.8,2.0,0.63,0.67,0.3,0.8,2700,260,0.99,0.5,0.01,6,2.42,0.2,0.9,0.97,0.3,0.8,0.6,0.6,0.8,0.8,0.5,0.7,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,4,1.25,0.6,8,0.38,1.0,8,3.11,0.2,119,47,0.2,26,10,0.2,20,7,1.0,5,2,1.0,56,2,1.0,116,3,1.0,30,1,1.0,30,12,0.2,75,3,0.99,80,32,0.2,3,0.97,0.6,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,Jones_Flagship_749.95_stiffer_freeride,,Sintered_8000_Base,,Premium_Topsheet,Inaki_Odriozola,SWS_Solico_Dubai_UAE,,Tapered_Directional,Biax_Fiberglass_with_Bio_Resin,2025/2026,Fair_Trade_Certified,,Recycled_ABS,Oversize_recycled_steel_edges,,,Jones_Frontier_original_last_2025MY,Beginner_Intermediate_Expert_progress_2of5,Jones_Snowboards,Mens,2x4_Inserts_Standard_Pack,Snowboard
34xl4zXkIS,Rome_Snowboards_founded_2001 Viper,999.99,115,0.96,0.4,0.7,0.4,0.7,2.13,0.85,0.2,0.5,0.01,2882,1153,0.2,0.5,0.01,6,2.42,0.2,0.8,0.8,0.5,0.01,0.75,0.7,0.5,0.01,0.75,0.8,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,6,0.45,1.0,7,0.74,0.8,7,0.69,0.8,121,2,0.99,25,0,0.99,0,7,0.95,0,2,1.0,53,7,0.6,113,45,0.2,30,12,0.2,30,12,0.2,75,3,1.0,79,5,0.8,2,0.97,0.6,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,Jones_Mountain_Twin_directional_twin_camber_579_95,,SinterStrong_sintered_base,,,Stale_Sandbech_and_Rene_Rinnekangas,Titan_Factory_China,,Directional_Twin,Triax_Upper_and_Lower_Glass,2027_FW_2026_27,,Directional_Diamond_3D_nose,,,Tri_Radial_Sidecut_three_radii,Compatible_most_bindings_2x4,,Intermediate_Advanced,Rome_SDS,Mens,2x4_inserts,Snowboard
3EvvgTQAkz,Jones_Snowboards_Nidecker_Group Tweaker_Pro_2.0,1099.99,115,0.95,0.65,0.6,0.5,0.8,2.13,0.85,0.2,0.5,0.01,2900,260,0.99,0.5,0.01,6,2.42,0.2,0.95,0.86,0.8,0.7,0.8,0.8,0.6,0.8,0.5,0.7,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,8,1.34,0.54,8,0.41,0.94,8,3.11,0.2,120,2,0.94,25,0,1.0,0,7,1.0,0,2,1.0,54,3,0.94,113,45,0.2,29,1,0.94,30,12,0.2,70,3,1.0,75,5,0.8,5,0.84,0.7,0.5,0.01,8,0.45,1.0,0.5,0.01,0.5,0.01,CAPiTA_Super_DOA_4_67_of_5,,Sintered_8000,8.0,Premium_durable_scratch_resistant,Jimmy_Goodman,Dubai_SWS_Board_Technology,,True_Twin_symmetrical,Basalt_Pro_Layup_basalt_fibre,2027,Fair_Trade_Certified_since_2024_25,Aerospace_derived_synthetic_core_dampening_swing_weight,Recycled_ABS_round_finish,Medium_Traction_Tech_multiple_contact_points,Progressive_sidecut,,Jones_Tweaker_Pro_2025_2026,Advanced_to_Expert,Jones_Snowboards,Mens,2x4_inserts_Standard_Pack,Snowboard
3wOygBFu3i,Salomon_SAS_Annecy_France Sight,649.99,115,0.95,0.75,0.9,0.6,0.6,2.0,0.49,0.8,0.5,0.6,2882,1153,0.2,0.7,0.97,3,0.98,0.8,0.5,0.7,0.7,0.7,0.5,0.01,0.5,0.01,0.5,0.01,0.45,0.7,84,34,0.2,0.2,0.8,0.7,0.7,0.65,0.7,5,0.75,0.86,8,3.03,0.2,8,3.11,0.2,118,2,0.93,25,0,0.93,10,7,0.97,1,4,0.8,55,22,0.2,113,45,0.2,30,1,0.93,30,12,0.2,78,4,0.93,78,5,0.8,3,0.69,0.8,0.5,0.01,9,3.59,0.2,0.7,0.8,0.5,0.01,Nidecker_Escape_Amplid_Singular_Burton_Instigator,,Extruded_EG,,,,Global_France_Bulgaria_Asia,,Tapered_Directional,BA_LD_low_density_fiberglass,2025,FSC_certified_wood_strips,,ABS_sidewalls_Royal_Cork_Rails,,Quadratic_Sidecut,,Salomon_Ace,Beginner_Advanced,Salomon,Mens,2x4_Inserts,Snowboard
4L0uIaTGot, Basher,999.99,115,1.0,0.6,0.7,1.0,0.97,2.0,0.25,1.0,0.85,0.8,2882,1153,0.2,0.75,0.6,8,1.2,0.7,0.5,0.01,0.5,0.01,0.5,0.01,0.8,0.8,0.6,0.65,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,7,0.45,0.97,5,1.04,0.6,8,3.11,0.2,119,47,0.2,26,10,0.2,0,7,1.0,5,2,0.2,54,5,0.8,102,3,1.0,30,1,1.0,30,12,0.2,75,9,0.6,80,32,0.2,2,0.84,0.7,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,Jones_Stratos_Ride_Twinpig_Lib_Tech_Skate_Banana_CAPiTA_Aeronaut,,Sintered_EcoSpeed_HD_85pct_recycled_Ptex,,EcoGuard_Topsheet_90pct_recycled,,Playmaker_factory_Taiwan,,Asym_Twin,Bi_Lite_Laminates_biaxial_fiberglass,2026,100pct_solar_power,3D_Twin_Tech_convex_concave_convex,ABS_Sidewalls_35pct_recycled,50pct_Recycled_Steel_edges,Dual_Degressive,Any_standard_or_mini_disk_fits_2x4,Optisym_asymmetric_Friendly_Freestyle,Park_freestyle_urban_riders,Nitro,Mens,2x4_Inserts,Standard_solid_snowboard
4tEumX87V1,Mervin_Manufacturing Banked_Country,1049.99,115,0.95,0.95,0.9,0.95,0.9,2.13,0.85,0.2,0.9,0.8,2960,260,0.95,0.85,0.96,6,0.98,0.8,0.9,0.9,0.75,0.72,0.5,0.01,0.4,0.8,0.5,0.01,0.5,0.8,88,5,0.95,0.8,0.8,0.8,0.8,0.8,0.8,7,0.45,0.97,8,0.38,1.0,8,0.35,1.0,119,47,0.2,25,0,1.0,4,15,0.77,0,3,0.9,55,6,0.7,112,3,1.0,29,1,1.0,30,1,0.8,70,9,0.6,75,8,0.6,4,0.84,0.7,0.5,0.01,9,3.59,0.2,0.8,0.8,0.5,0.01,Jones_Flagship_1_Never_Summer_Valhalla_2_YES_PYL_3_and_more,,Sintered_Knife_Cut_Base,,Eco_Sublimated_Poly_Topsheet,Temple_and_Cannon_Cummins,Mervin_Manufacturing_longest_running_last_major_USA_factory,,Tapered_Directional,Tri_Ax_Bi_Ax_fiberglass_Carbon_Power_Bands,2026_season_2025_2026,EcoUNREAL_Manufacturing_zero_hazardous_waste,Carbon_Power_Bands_radical_response_and_pop,UHMW_wraps_around_tip_tail,Progressive_Pro_Magne_Traction_directional,,,GNU_Billy_Goat_replaced_2021_22,Advanced_to_Expert,GNU,Mens,2x4_Inserts,Snowboard
5DbRUwVfd4, Fastlane,759.99,160,0.9,0.6,0.74,1.0,1.0,2.0,0.49,0.8,0.5,0.01,2882,1153,0.2,0.5,0.01,6,2.42,0.2,0.5,0.01,0.5,0.01,0.75,0.8,0.3,0.8,0.5,0.01,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,9,0.63,0.9,7,0.52,0.9,7,0.49,0.9,114,2,0.9,26,0,0.9,2,10,0.9,1,4,0.8,54,3,0.9,113,45,0.2,30,12,0.2,30,12,0.2,72,5,0.9,80,5,0.8,3,1.09,0.5,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,Jones_Flagship_perennial_1_freeride_directional_FSC,,50pct_Recycled_Sintered_Base,,Olive_wood_veneer,,Primarily_China,,Tapered_Directional,BFX_Ultra_flax_carbon_BA_MD_Fiberglass,2026_FW_2025_26,FSC_Certified_wood_core,Popster_milled_core_inserts_natural_flex_pop,66pct_Recycled_ABS,20pct_Recycled_Steel_Edges,Quadratic_Sidecut_mix_elliptic_curves,,Salomon_Super_8_discontinued_after_10_seasons,Advanced_to_Expert,Salomon,Unisex,2x4_Inserts,Snowboard
